Level,Find Number,Quantity,Reference Designator,Item,Revision,Description,UOM,Note,MPN,Manufacturer,Alternate,Substitute
 , , , , , , , , ,01521-ATC100B6R8CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , , , , ,38487-100B6R8CTN1500X,KYOCERA AVX,,
4,29,1,,5413113-30,'3',CAP 9.1pF Btol Bsize 1500WVDC,Each,,18981-VJ1111D9R1BCRQ,VISHAY,,
 , , , , , , , , ,01521-ATC100B9R1BTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , , , , ,04227-QEDB152Q9R1B3GU001,JOHANSON TECHNOLOGY INC,,
 , , , , , , , , ,24163-DLC10B9R1BP152X,DALICAP CO LTD,,
 , , , , , , , , ,38487-700B9R1BTN1500X,KYOCERA AVX,,
 , , , , , , , , ,27329-152S42E9R1BU3,JOHANSON,,
 , , , , , , , , ,28443-152SHB9R1BCL,EXXELIA,,
 , , , , , , , , ,24163-DLC70B9R1BP152X,DALICAP CO LTD,,
 , , , , , , , , ,28443-152CHB9R1BCL,EXXELIA,,
 , , , , , , , , ,34275-111122K09P10BQ_AF9LM,KNOWLES,,
 , , , , , , , , ,38487-100B9R1BTN1500X,KYOCERA AVX,,
3,,12,"L1,L2,L3,L5,L6,L7,L8,L10,L11,L12,L13,L14",2256719-34,'3',INDUCTOR RF 3300nH 290mA QMIN 22 at 25 MHZ,Each,,07200-1008CS-332XJL,COILCRAFT,,
 , , , , , , , , ,04359-PE-1008CD332JTT,PULSE ENGINEERING INC,,
3,3,12,,5133884,'1',SOCKET SOLDER MOUNT FOR FOR 1.02MM DIAMETER PINS,Each,,06705-450-3716-01-04-00,CAMBION ELECTRONIC PRODUCTS,,
3,,2,"R3,R4",5401480,'1',"RESISTOR 100K OHM, NON-MAGNETIC, 1 PERCENT, 250MW, FILM, 100PPM, 1206",Each,,24163-R1206RC1003FPD/NM,DALICAP CO LTD,,
 , , , , , , , , ,23735-CHR1206-100KD-F,BREL INTERNATIONAL,,
3,,2,"D4,D9 ",5343312,'1',"PIN DIODE, RF, 100V, 1.5A, SM",Each,,10590-MA4P1250NM-1072T,MA-COM,,
3,,10,"C1,C2,C9,C10,C11,C12,C16,C19,C23,C24",5357262-51,'3',"CAPACITOR 1000PF, 5PERCENT, 50V, CERAMIC, SMT, NON-MAGNETIC",Each,,38487-100B102JTN50X,KYOCERA AVX,,
 , , , , , , , , ,24163-DLC10B102JP500X,DALICAP CO LTD,,
 , , , , , , , , ,28443-500CHB102JCL,EXXELIA,,
 , , , , , , , , ,01521-ATC100B102JTN50X,AMERICAN TECHNICAL CERAMICS,,
3,,4,"D2,D3,D7,D8",5134724-3,'1',"RF PIN DIODE, NON MAGNETIC, 2.41x2.41x3.43 mm3, MELF SMQ, SURFACE MOUNT, 0.5 OHM SERIES RESISTANCE, 0.3US   CARRIER LIFETIME",Each,,10590-MADP-000235-10720T,MA-COM,,
3,,1,C22,5357262-12,'3',"CAPACITOR 8.2PF, +-0.25 PF, 1500V, CERAMIC, SMT, NON-MAGNETIC",Each,,01521-ATC100B8R2CTN1500X,AMERICAN TECHNICAL CERAMICS,,
 , , , , , , , , ,28443-152CHB8R2CCL,EXXELIA,,
